name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
oslo,2022-01-01,-0.6,-6.6,-3.3,-1,-7.1,-4,-3.8,96.2,6.045,100,29.17,"rain,snow",4.4,16.2,17.6,9.4,19.2,1014.8,86.1,7,2.6,0,0,,2022-01-01T09:18:32,2022-01-01T15:22:51,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,ENGM"
oslo,2022-01-02,0.6,-2.2,-0.3,0.6,-3.2,-0.9,-0.5,98.5,0,0,0,,2.3,20.6,13.7,9.6,174.6,998.4,100,1.2,1.4,0,0,,2022-01-02T09:18:01,2022-01-02T15:24:20,0,Overcast,Cloudy skies throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,ENGM"
oslo,2022-01-03,3.1,-2.1,0.6,3.1,-3.1,-0.5,0,95.7,0.391,100,20.83,"rain,snow",0,19,38.2,21.1,237.7,987.3,87.6,9,1.9,0,0,,2022-01-03T09:17:25,2022-01-03T15:25:52,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,D6979,ENGM"
oslo,2022-01-04,-0.1,-4.9,-2.7,-0.1,-9.3,-4.3,-4.3,89.2,0,0,0,,0,16.1,21.6,10.8,281.7,981.3,69.7,36.4,11.4,1,1,,2022-01-04T09:16:44,2022-01-04T15:27:29,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01473099999,01477099999,01384099999,ENGM"
oslo,2022-01-05,-0.1,-5.1,-3,-1,-10.2,-6.9,-6.7,76.3,146.181,100,4.17,snow,0,15.8,41.4,21.4,351.9,990.1,52,33.4,9.9,0.8,1,,2022-01-05T09:15:58,2022-01-05T15:29:11,0.09,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01485099999,ENRY,01492099999,D9780,01384099999,ENGM"
oslo,2022-01-06,-1.8,-14.6,-7.3,-4.1,-14.6,-8.9,-10.3,79.2,140.821,100,4.17,snow,0.5,16,31,18.8,6.4,1009,17.2,32.2,11,0.9,1,,2022-01-06T09:15:07,2022-01-06T15:30:56,0.12,Snow,Clear conditions throughout the day with morning snow.,snow,"01485099999,ENRY,01488099999,01492099999,D9780,01473099999,01384099999,ENGM"
oslo,2022-01-07,-2.7,-14.1,-6.2,-7.3,-16,-10.2,-7.6,89.9,7.527,100,79.17,snow,6,18.5,38,23,22.1,1003.2,94.9,9.2,1.6,0,0,,2022-01-07T09:14:11,2022-01-07T15:32:45,0.15,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,ENGM"
oslo,2022-01-08,-2.5,-5.3,-3.7,-5.5,-10.1,-8.4,-5.5,88.1,5.734,100,45.83,snow,3.4,25,36.2,21.7,21.9,999.9,97.1,15.4,1.7,0,0,,2022-01-08T09:13:11,2022-01-08T15:34:38,0.19,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01473099999,D1065,01490099999,01384099999,ENGM"
oslo,2022-01-09,-1,-3.7,-2.1,-5.9,-8.1,-6.7,-3.8,88.5,3.525,100,16.67,"rain,snow",0,24.8,38,20.2,30.5,1004.3,96.2,27.8,2.6,0.1,0,,2022-01-09T09:12:06,2022-01-09T15:36:34,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"01485099999,ENRY,01492099999,D9780,E4699,D1065,01384099999,ENGM"
oslo,2022-01-10,-0.5,-2.9,-1.7,-1.2,-6.8,-4.2,-3.7,86.6,0.248,100,16.67,"rain,snow",0.2,24,33.5,20.4,49.9,1025.6,94.2,27.7,3.2,0,0,10,2022-01-10T09:10:56,2022-01-10T15:38:34,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"01485099999,ENRY,01492099999,D1065,01384099999,D6979,ENGM"
oslo,2022-01-11,2.1,-1.9,1,1.4,-5.3,-2.4,0.4,96,2.657,100,37.5,"rain,snow",0.1,22.2,47.5,24.4,177.9,1025.4,91.8,8.3,2.2,0,0,10,2022-01-11T09:09:42,2022-01-11T15:40:36,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,E1039,ENGM"
oslo,2022-01-12,2.8,-1.6,0.8,1.7,-5.4,-1.9,0.1,95,0,0,0,,0,19.9,35.3,25.6,205.6,1020.3,63.4,11.6,8.8,0.7,0,10,2022-01-12T09:08:25,2022-01-12T15:42:42,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01490099999,01384099999,ENGM"
oslo,2022-01-13,12,0.7,4.8,12,-1.9,2.6,0.8,77.6,64.21,100,4.17,rain,0,18.5,68.4,28,213.2,1011,46.6,39.5,9.6,0.8,0,10,2022-01-13T09:07:02,2022-01-13T15:44:51,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01473099999,01384099999,ENGM"
oslo,2022-01-14,10.6,-3.2,4,10.6,-7.3,1,-6.9,45.5,0.002,100,4.17,rain,0,16,71.5,35.9,296.7,1016.5,10,30.4,17.4,1.5,1,10,2022-01-14T09:05:36,2022-01-14T15:47:02,0.38,Rain,Clear conditions throughout the day with early morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01473099999,01490099999,01477099999,01384099999,D6979,ENGM"
oslo,2022-01-15,0.1,-5.1,-2.4,-0.7,-7.2,-3.2,-6.5,74.6,0,0,0,,0,15.7,23.7,12.8,3.3,1020.9,88.3,34.2,12.2,1.1,1,10,2022-01-15T09:04:07,2022-01-15T15:49:16,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01384099999,ENGM"
oslo,2022-01-16,5.1,-6.4,-0.8,2.6,-8.5,-2.8,-4.6,78.6,0.097,100,4.17,rain,0,15.4,65.3,32.2,259.8,1001.7,78.3,24.8,12.8,1.1,1,10,2022-01-16T09:02:33,2022-01-16T15:51:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"01485099999,ENRY,01488099999,01492099999,D9780,01473099999,01384099999,ENGM"
oslo,2022-01-17,3.6,-3.3,0.6,1.4,-5.7,-3,-10.3,44.7,0.195,100,4.17,snow,0,15.2,62.3,28.5,308.3,1012.8,14,30.3,18.8,1.5,1,10,2022-01-17T09:00:56,2022-01-17T15:53:51,0.48,Snow,Clear conditions throughout the day with early morning snow.,rain,"01485099999,ENRY,01492099999,D9780,D1065,01384099999,D6979,ENGM"
oslo,2022-01-18,2.3,-7.2,-3.2,0.2,-9.5,-4.2,-6.1,80.3,128.02,100,4.17,snow,0,14.9,13,8.6,9.1,1022.8,78.9,25,13.1,1.2,1,10,2022-01-18T08:59:15,2022-01-18T15:56:12,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"01485099999,ENRY,01492099999,D9780,01473099999,D1065,01384099999,ENGM"
