name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
phoenix,2022-01-01,13.2,5.6,10.8,13.2,3.9,10,-1.6,47.3,2.115,100,20.83,rain,0,0,50.3,33.5,283.1,1014.8,36.4,16,142.1,12.1,6,,2022-01-01T07:32:34,2022-01-01T17:31:37,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,SRP41,KPHX,AZM15,SRP32"
phoenix,2022-01-02,15,2.1,8.5,15,1.3,7.7,-6.4,38.8,0,0,0,,0,0,33.5,19.5,58.3,1025.5,8.9,16,144.6,12.4,6,,2022-01-02T07:32:45,2022-01-02T17:32:23,0,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,SRP41,AZM15,SRP32"
phoenix,2022-01-03,18.7,4.3,10.6,18.7,3.2,10.4,-2.9,42.4,0,0,0,,0,0,,13.9,22.7,1020.9,18.7,16,144,12.4,6,,2022-01-03T07:32:54,2022-01-03T17:33:10,0.03,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,SRP41,AZM15,SRP32"
phoenix,2022-01-04,18.2,5.5,11.2,18.2,3.7,10.5,-0.3,48.1,0,0,0,,0,0,,13.1,110.7,1020.6,19.6,15.7,139.5,12,6,,2022-01-04T07:33:01,2022-01-04T17:33:57,0.07,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,AZM15,SRP32"
phoenix,2022-01-05,18.8,4.9,11.4,18.8,4.9,11.1,0.9,52.3,0,0,0,,0,0,,8.7,91.6,1017.9,10.7,16,139.7,12.1,6,,2022-01-05T07:33:07,2022-01-05T17:34:46,0.1,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,AZM15,SRP32"
phoenix,2022-01-06,18.4,6.6,12,18.4,4.5,11.3,2.7,55.6,0,0,0,,0,0,,10.5,98.6,1014.9,26.4,15.9,122.7,10.5,5,,2022-01-06T07:33:11,2022-01-06T17:35:35,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,AZM15,SRP32"
phoenix,2022-01-07,21.1,7.6,13.6,21.1,5.4,13.2,3.8,54.6,0,0,0,,0,0,,13.1,95.5,1011.7,21.7,16,138.9,11.9,6,,2022-01-07T07:33:12,2022-01-07T17:36:26,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,SRP41,KPHX,AZM15,SRP32"
phoenix,2022-01-08,19.3,8.9,13.1,19.3,7.2,12.6,4.1,56.2,0,0,0,,0,0,,15,73.7,1013.9,51.6,16,106.3,8.9,5,,2022-01-08T07:33:12,2022-01-08T17:37:17,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,AZM15,SRP32"
phoenix,2022-01-09,22.8,7.1,14.4,22.8,6,14.3,1.4,47.9,0,0,0,,0,0,33.5,19.7,59.5,1023.3,28,16,144.6,12.7,6,,2022-01-09T07:33:11,2022-01-09T17:38:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,SRP41,AZM15,SRP32"
phoenix,2022-01-10,22.2,11.2,17,22.2,11.2,17,-2.8,26.4,0,0,0,,0,0,46.8,33.2,62.9,1025.4,32.9,16,143.5,12.3,6,10,2022-01-10T07:33:07,2022-01-10T17:39:02,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX,AZM15,SRP32"
