name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pittsburgh,2022-01-01,13.1,10.6,12.1,13.1,10.6,12.1,11,93.4,19.513,100,83.33,rain,0,0,29.5,17.3,188.7,1005.6,99,6.4,27.2,1,1,,2022-01-01T07:43:20,2022-01-01T17:04:11,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KBTP,KAGC,72512464705,E7897,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-02,7.3,-1.5,2.7,5.7,-6.5,-1,1,89.1,1.849,100,25,rain,0,0,35.3,21.7,325.1,1010.6,100,11.1,36.8,1.3,1,,2022-01-02T07:43:25,2022-01-02T17:05:02,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-03,-2,-6,-4,-6.6,-12.7,-9.1,-9.6,65.4,0,0,0,,0,0,35.3,21.1,335.7,1024.9,85.5,16,178.9,6.6,4,,2022-01-03T07:43:28,2022-01-03T17:05:55,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-04,3.7,-6.4,-1.9,1.1,-11.4,-5.5,-7.9,64.7,0,0,0,,0,0,,16.1,174.9,1025.3,15.1,15.9,203.2,7.3,4,,2022-01-04T07:43:29,2022-01-04T17:06:49,0.06,Clear,Clear conditions throughout the day.,clear-day,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-05,9.5,0.6,5.5,5.7,-5,1.5,-5,46.9,0,0,0,,0,0,61.4,33.6,221.6,1008.1,44.8,16,153.3,5.8,3,,2022-01-05T07:43:28,2022-01-05T17:07:44,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-06,-0.9,-7.8,-5,-4.2,-14.5,-9.9,-10.4,67.1,3.773,100,25,snow,1.2,0.4,55.6,33.3,268.4,1015,59.1,12.2,117.9,4.7,3,,2022-01-06T07:43:25,2022-01-06T17:08:41,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W,0495W"
pittsburgh,2022-01-07,-6.6,-9.5,-7.8,-12,-16.9,-14.6,-12.1,71.8,1.208,100,20.83,snow,0.7,1.8,41.9,23.4,270.1,1022.2,94.1,10.6,129.9,4.7,4,,2022-01-07T07:43:19,2022-01-07T17:09:39,0.16,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-08,0.7,-13.2,-6.2,-0.8,-17.9,-10.2,-12.5,64.4,0,0,0,,0,1.1,25.9,15.5,147.8,1031.7,23,14.7,208.5,7.6,4,,2022-01-08T07:43:11,2022-01-08T17:10:39,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-09,6,-3.1,3,2.8,-9.9,-1.3,-0.7,78.2,11.719,100,70.83,"rain,snow",0,0.1,48.1,27.2,238.1,1020.9,84.5,11.7,14.7,0.7,0,,2022-01-09T07:43:01,2022-01-09T17:11:40,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"KBTP,KAGC,72512464705,E7897,KPIT,72520514762,72520094823,0561W"
pittsburgh,2022-01-10,-4,-8,-6.6,-9.6,-16,-13.3,-12.7,62.1,0,0,0,,0,0,50.8,31.5,276.6,1027.3,70.8,13.5,79.4,4.6,3,10,2022-01-10T07:42:48,2022-01-10T17:12:41,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBTP,KAGC,72512464705,KPIT,72520514762,72520094823,0561W"
