name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
prague,2022-01-01,13.1,6.9,10.9,13.1,5,10.6,6.7,75.6,0,0,0,,0,0,39.6,21.7,249.5,1024.6,80,33.2,55.1,1.8,1,,2022-01-01T08:01:15,2022-01-01T16:10:37,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-02,9.8,4.2,6.9,7.8,1.5,4.8,3.7,80.9,0.003,100,4.17,rain,0,0,43.2,28.2,215.6,1019,68.7,29.1,66.6,2,1,,2022-01-02T08:01:10,2022-01-02T16:11:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-03,10.8,7,8.8,10.8,3.8,5.9,4.1,73,0.496,100,29.17,rain,0,0,82.8,35.3,250.1,1012.3,75.8,37.7,114.4,3.5,3,,2022-01-03T08:01:02,2022-01-03T16:12:43,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-04,11,4.6,7.7,11,2.4,5.2,5.5,85.6,5.119,100,62.5,rain,0,0,57.6,21.8,223.4,999.3,98.2,27,43.6,1.3,1,,2022-01-04T08:00:50,2022-01-04T16:13:50,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"11520099999,11567099999,11519099999,11509099999,LKKB,F4588,11518099999"
prague,2022-01-05,5.3,1.8,3.5,2.6,-4,-1.1,-0.5,75.4,0.495,100,33.33,rain,0,0,64.5,31.8,249.1,1002.8,91.6,34,49.5,1.5,1,,2022-01-05T08:00:36,2022-01-05T16:15:00,0.09,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,F4588,11518099999"
prague,2022-01-06,2.5,-3.3,0.8,-1.9,-7.4,-3.6,-4,70.9,0.195,100,8.33,"rain,snow",0,0,46.8,28.7,267.4,1015.8,37.4,29.8,133.6,4.8,3,,2022-01-06T08:00:18,2022-01-06T16:16:11,0.12,"Snow, Rain, Partially cloudy",Clearing in the afternoon with morning rain or snow.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-07,0.8,-4.7,-1.8,-1.9,-10,-5.6,-5.1,78,0.098,100,12.5,"rain,snow",0,0,,15.2,191.4,1019.5,60.8,26.9,103.4,3.7,2,,2022-01-07T07:59:57,2022-01-07T16:17:25,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-08,2.6,-1.1,0.8,2.6,-4.1,-1.6,-2.5,78.9,0.339,100,16.67,"rain,snow",0,0,,13.6,187.6,1012,87,26.3,57.6,2.1,2,,2022-01-08T07:59:33,2022-01-08T16:18:41,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-09,4.3,-2.6,0.7,0.5,-6.9,-2.8,-2.3,80.8,0.869,100,20.83,"rain,snow",0,0,,21.9,188.5,1002.8,93.2,27.2,51.6,1.8,1,,2022-01-09T07:59:06,2022-01-09T16:19:59,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
prague,2022-01-10,3,0.6,2.1,0.6,-1.9,-0.9,0.2,87.8,0.474,100,41.67,"rain,snow",0,0,,14.4,305.3,1018.7,95.7,23.5,29.5,0.9,0,,2022-01-10T07:58:36,2022-01-10T16:21:19,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"11520099999,11567099999,D5785,11519099999,11509099999,LKKB,11518099999"
