name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
riiga,2022-01-01,4,-6,0.4,2.8,-8.3,-2.7,-0.6,93.1,0.5,100,4.17,snow,0,0,,27.7,333.1,1010.5,74.5,10.1,12.1,1,1,,2022-01-01T09:01:18,2022-01-01T15:53:07,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"EVRA,26326099999,26429099999,26422599999,26425099999,26424099999"
riiga,2022-01-02,0,-7,-3.2,-1.7,-11.4,-7.4,-3.9,94.6,2,100,4.17,"rain,snow",0,0,42.5,25.9,159.5,1010.4,64.6,7.4,4.1,0.4,0,,2022-01-02T09:00:58,2022-01-02T15:54:24,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-03,4,0,1.4,2.1,-3.1,0,1.3,99.4,2.9,100,8.33,"rain,snow",0,0,,11.2,203.3,994,76.6,5.1,4.7,0.4,0,,2022-01-03T09:00:34,2022-01-03T15:55:45,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-04,4,3,3.4,1.3,-1.1,0,3,97.7,2.1,100,8.33,rain,0,0,,20.5,188.8,991.6,100,7.6,4.3,0.4,0,,2022-01-04T09:00:06,2022-01-04T15:57:09,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-05,3,1,2,0.1,-4,-1.8,1,93.1,0.5,100,8.33,"rain,snow",0,0,,20.5,194,988.2,88.5,9.6,14.4,1.2,1,,2022-01-05T08:59:33,2022-01-05T15:58:37,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-06,1,-4,-0.7,0,-8.8,-4.7,-3.1,84.7,1.6,100,8.33,"rain,snow",0,0,50.8,27.7,306.8,996.5,86.9,10.3,14.7,1.3,1,,2022-01-06T08:58:56,2022-01-06T16:00:07,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-07,0,-5,-2.9,-2.5,-9,-6,-5.7,81.4,0,0,0,,0,0,,9.6,234.7,1008.9,27.2,10,26.7,2.3,2,,2022-01-07T08:58:16,2022-01-07T16:01:41,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-08,-1,-4,-2,-4.8,-9.9,-7.7,-3.2,91.5,1.4,100,8.33,"rain,snow",0,0,,24.1,173,1008.7,90.8,8.9,8.3,0.7,0,,2022-01-08T08:57:31,2022-01-08T16:03:18,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-09,0,-2,-0.9,-1,-7.7,-5.1,-2.7,87.7,0,0,0,,0,0,,20.5,179.3,1007.1,95,10.3,19.8,1.8,1,,2022-01-09T08:56:42,2022-01-09T16:04:58,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"EVRA,26326099999,26422599999,26425099999,26424099999"
riiga,2022-01-10,0,-5,-2,-1,-6.8,-4.3,-3.2,91.7,0.1,100,4.17,snow,0,0,26.6,16.6,17.5,1022.3,83.3,8.2,26.7,2.4,1,10,2022-01-10T08:55:49,2022-01-10T16:06:41,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"EVRA,26326099999,26422599999,26425099999,26424099999"
