name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
salt lake city,2022-01-01,-5.2,-11.2,-8.3,-5.2,-17.6,-12.6,-13,69.6,0,0,0,,0,1.4,,22.2,355.4,1024.3,32.7,16,72.2,3.3,2,,2022-01-01T07:51:53,2022-01-01T17:10:50,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"QHW,MTMET,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-02,-4.1,-11.7,-8.4,-5.9,-18,-12.9,-13.3,68.3,0,0,0,,0,1.1,,16.4,145.2,1033.1,28.8,16,127.3,6.5,3,,2022-01-02T07:51:58,2022-01-02T17:11:42,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-03,-0.1,-9.8,-5.4,-0.7,-14.6,-7.8,-9.4,74,0,0,0,,0,1,,13.3,52.6,1022.9,62.5,15.7,190.7,8.2,5,,2022-01-03T07:52:01,2022-01-03T17:12:35,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-04,4.1,-1,1.6,1.6,-5.2,-1.7,-4.7,66,0,0,0,,0,1,57.5,36.1,203.6,1017.9,86.2,15.7,50.6,2.7,1,,2022-01-04T07:52:01,2022-01-04T17:13:29,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,WBB,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-05,4.9,-0.6,2.9,3.3,-3.7,0,0.3,84.1,8.046,100,50,rain,0,0.8,29.5,21.3,140.1,1016,97.2,10.9,27.2,1.2,1,,2022-01-05T07:51:59,2022-01-05T17:14:26,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"MTMET,QHW,72572024127,WBB,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-06,10.5,1.7,5.6,10.5,-1.3,3.6,2.6,82.6,1.262,100,29.17,"rain,snow",0,0.5,,17.1,151.8,1015,83.5,13.3,63.6,4,3,,2022-01-06T07:51:55,2022-01-06T17:15:23,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"MTMET,QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-07,14.2,4.3,8.4,14.2,0.1,6.3,0.2,58.8,0,0,0,,0,0.3,67.6,45.5,166.3,1005,67,16,170.7,7.2,4,,2022-01-07T07:51:49,2022-01-07T17:16:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-08,6,-1.3,3.1,3.7,-3.4,1,-2.5,67.7,0.27,100,4.17,rain,0,0.3,33.5,23.2,328.1,1018.2,50.9,16,114.5,7.1,4,,2022-01-08T07:51:40,2022-01-08T17:17:22,0.2,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"MTMET,QHW,72572024127,WBB,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-09,4.2,-3.5,-0.5,3.2,-6.7,-2.3,-5.3,71.6,0,0,0,,0,0.3,,10.9,114,1036.2,22.4,16,179.1,7.7,4,,2022-01-09T07:51:29,2022-01-09T17:18:23,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-10,4.2,-4,-0.9,3.3,-7.6,-3.3,-5.4,72.7,0,0,0,,0,0.3,42.5,17.9,115.1,1037.6,16.2,16,133.6,7.7,4,10,2022-01-10T07:51:16,2022-01-10T17:19:25,0.26,Clear,Clear conditions throughout the day.,clear-day,"QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-11,4.8,-4.6,-0.8,4.8,-8.6,-3.2,-4.8,75.7,0,0,0,,0,0.2,44.6,12.2,2.7,1036.1,31.2,12.7,86.7,7.3,4,10,2022-01-11T07:51:01,2022-01-11T17:20:29,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"QHW,MTMET,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-12,6.6,-2.9,0.7,6,-7.7,-2.1,-4.1,71.7,0,0,0,,0,0.2,10.4,15.8,142.2,1034.8,53.9,12.1,87.3,7.5,4,10,2022-01-12T07:50:43,2022-01-12T17:21:33,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-13,5.7,-2.9,0.5,4.2,-7,-1.3,-2.8,79.2,0,0,0,,0,0,46.4,15.7,6.3,1026.3,55.8,10.3,69.4,5.8,3,10,2022-01-13T07:50:23,2022-01-13T17:22:39,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-14,4.9,-2.8,0.7,1.7,-4.9,-1.9,-2.4,80.1,0,0,0,,0,0,16.9,17,305.8,1030.9,39,11.2,91.5,7.9,4,10,2022-01-14T07:50:01,2022-01-14T17:23:45,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-15,6,-3.3,0.2,5,-7.2,-2.2,-3.4,77.9,0,0,0,,0,0,9.4,12.7,136.4,1033.1,33.6,12.2,90.3,7.8,4,10,2022-01-15T07:49:37,2022-01-15T17:24:53,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-16,4.9,-5.1,-0.7,3.2,-8.9,-2.8,-3.9,80.1,0,0,0,,0,0,7.9,12.4,195.1,1026.9,35.6,8.8,90.3,7.9,4,10,2022-01-16T07:49:11,2022-01-16T17:26:01,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-17,2.8,-4.5,-1.5,1.7,-7.6,-3.2,-3.8,84.2,0,0,0,,0,0,9.7,9.1,257.4,1021.7,68.4,7.9,77.9,6.8,3,10,2022-01-17T07:48:42,2022-01-17T17:27:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-18,3.7,-3.8,-0.8,2.5,-7.6,-2.3,-3,85.8,0,0,0,,0,0,7.2,9.4,310.6,1019.4,73.9,5.5,84.3,7.2,4,10,2022-01-18T07:48:11,2022-01-18T17:28:19,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-19,2.1,-3.3,-1.1,-1.6,-5,-3,-3,87,0,0,0,,0,0,18.7,16.4,316.4,1026,60.4,6.1,74.4,6.3,3,10,2022-01-19T07:47:39,2022-01-19T17:29:30,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,WBB,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-20,3.8,-5.1,-0.6,1.8,-8.4,-2.7,-3.5,82,1.198,100,12.5,"rain,snow",0.2,0.1,20.2,17.4,128.8,1030.6,68.9,7.6,100,8.5,4,10,2022-01-20T07:47:04,2022-01-20T17:30:40,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"QHW,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-21,3.3,-1.7,0.5,0.6,-5.8,-3.1,-1.4,87.5,0.285,100,8.33,"rain,snow",0.1,0.2,35.3,24.6,306.7,1024.7,76.3,11.4,67.6,5.9,4,10,2022-01-21T07:46:27,2022-01-21T17:31:52,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"QHW,MTMET,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-22,1.6,-5.2,-2.1,-1.6,-7.6,-4.6,-4.9,81.7,0,0,0,,0,0,13,16.5,315.2,1031,31.4,15.4,98,8.4,5,10,2022-01-22T07:45:48,2022-01-22T17:33:04,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"QHW,MTMET,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-23,2.7,-5.7,-2,0.7,-8.5,-3.8,-5.3,79.1,0,0,0,,0,0,13,10.8,295.5,1030.9,26.2,15.9,95.9,8.1,5,10,2022-01-23T07:45:07,2022-01-23T17:34:16,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"QHW,MTMET,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-24,5.5,-4.5,0,5.5,-7.8,-1.6,-4.2,74.8,0,0,0,,0,0,9,12.7,124.5,1021.6,57.3,14.2,98.9,8.8,5,10,2022-01-24T07:44:24,2022-01-24T17:35:29,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MTMET,QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-25,3.4,-2.3,0.2,-0.7,-7.4,-3.7,-3.8,75.5,0.544,100,12.5,"rain,snow",0,0.1,40.7,24.8,306.2,1021.7,57.3,13.5,115.8,10.1,5,10,2022-01-25T07:43:39,2022-01-25T17:36:42,0.75,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,rain,"MTMET,QHW,72572024127,WBB,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-26,3.7,-5.7,-1.3,1.5,-9.7,-3.5,-6.7,68.1,0,0,0,,0,0,15.8,13.3,321.5,1027,34.7,15.9,103.3,9,5,10,2022-01-26T07:42:52,2022-01-26T17:37:55,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"QHW,MTMET,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-27,1.6,-6.7,-2.7,-1.5,-11,-5.2,-7,73.5,0,0,0,,0,0,18.7,20.6,305.4,1033.8,10.3,16,102.6,8.8,5,10,2022-01-27T07:42:03,2022-01-27T17:39:09,0.84,Clear,Clear conditions throughout the day.,clear-day,"QHW,72572024127,F7048,KHIF,A0002804116,72057299999,KSLC"
salt lake city,2022-01-28,3.3,-6.3,-2.3,3.3,-11.2,-4.9,-8.1,65.8,0,0,0,,0,0,9.7,11.4,200.2,1038.8,0,15.8,104.7,9.1,5,10,2022-01-28T07:41:13,2022-01-28T17:40:23,0.88,Clear,Clear conditions throughout the day.,clear-day,"QHW,MTMET,72572024127,F7048,KHIF,72575524101,A0002804116,72057299999,KSLC"
salt lake city,2022-01-29,2.9,-7.2,-2.5,2.2,-9,-3.9,-7.1,71.8,0,0,0,,0,0,9.4,16.1,294.3,1030.8,1.1,12.6,106.2,9,5,10,2022-01-29T07:40:20,2022-01-29T17:41:37,0.91,Clear,Clear conditions throughout the day.,clear-day,"QHW,MTMET,72572024127,F7048,72575524101,KHIF,A0002804116,72057299999,KSLC"
