name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2022-01-01,10.6,3.1,6.7,10.6,1.8,6,0.9,67.9,0,0,0,,0,0,,12.4,10.3,1022.5,19.4,16,121.1,10.6,5,,2022-01-01T07:25:18,2022-01-01T17:01:42,0.97,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-02,11.8,1.8,6.7,11.8,0,6.3,2,72.3,0,0,0,,0,0,,12.2,29.3,1024.8,36.2,16,97.8,8.6,5,,2022-01-02T07:25:25,2022-01-02T17:02:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-03,12.6,7.2,10.4,12.6,6.3,9.8,7.4,81.9,3.097,100,25,rain,0,0,51.8,28.5,156.9,1023,93.3,14.3,51,4.3,2,,2022-01-03T07:25:31,2022-01-03T17:03:21,0.03,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-04,13.7,10.7,11.7,13.7,10.7,11.7,10.5,92.5,4.402,100,41.67,rain,0,0,31.7,18.4,173.3,1026.4,93.4,12.2,56.9,4.8,3,,2022-01-04T07:25:34,2022-01-04T17:04:13,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-05,13.8,10.7,12.2,13.8,10.7,12.2,10.5,89.9,0,0,0,,0,0,,14,130,1025.5,93.2,15.2,64,5.4,3,,2022-01-05T07:25:35,2022-01-05T17:05:05,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-06,12.7,11.2,11.9,12.7,11.2,11.9,10.7,92.3,0,0,0,,0,0,,10.1,333.4,1018.6,98.5,10.6,26.1,2.2,1,,2022-01-06T07:25:35,2022-01-06T17:05:59,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-07,13.2,10.1,11.4,13.2,10.1,11.4,9.4,88,0.348,100,12.5,rain,0,0,,21.5,214.5,1015.1,82.3,14.6,42.5,3.6,2,,2022-01-07T07:25:32,2022-01-07T17:06:54,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-08,12.5,6.7,9.7,12.5,6.7,9.5,7.3,85,0,0,0,,0,0,,12.5,87.7,1020.4,46.6,15.8,119.9,10.4,5,,2022-01-08T07:25:27,2022-01-08T17:07:51,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-09,14.8,5.5,9.9,14.8,3.6,9.4,6.5,80,0,0,0,,0,0,,14.9,71.8,1025.3,32.7,15.8,122.4,10.6,5,,2022-01-09T07:25:20,2022-01-09T17:08:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-10,14.8,8.4,11.1,14.8,7.3,10.9,7.7,80,0,0,0,,0,0,13.3,10.1,61.3,1029.5,40,14.6,121.3,11,5,10,2022-01-10T07:25:11,2022-01-10T17:09:46,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-11,14.6,6.3,10.8,14.6,6,10.7,6.6,75.7,0,0,0,,0,0,15.5,11.6,340,1028,52.8,16,114.5,10.3,5,10,2022-01-11T07:25:00,2022-01-11T17:10:45,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2022-01-12,14.4,6.8,11.2,14.4,6.8,11.1,7.2,76.7,0,0,0,,0,0,20.5,12.6,18.5,1024.9,45.8,14.9,117.4,10.4,5,10,2022-01-12T07:24:47,2022-01-12T17:11:45,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
