name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san jose,2022-01-01,12.8,1.7,6.3,12.8,0.3,5.6,-0.3,66.8,0,0,0,,0,0,,9.4,179.4,1022,21.2,13.9,143.5,12.2,6,,2022-01-01T07:21:56,2022-01-01T17:00:46,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-02,15.5,0.6,6.7,15.5,-1.2,6.2,0.8,68.5,0,0,0,,0,0,,14.6,156.9,1024.3,25.4,16,143.7,12.3,6,,2022-01-02T07:22:04,2022-01-02T17:01:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-03,13.3,6.7,10.3,13.3,4.2,9.5,6.3,76.5,0,0,0,,0,0,31.7,22,143.3,1023.3,91.9,16,63.9,5.4,3,,2022-01-03T07:22:10,2022-01-03T17:02:24,0.03,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-04,16.1,10,12.5,16.1,10,12.5,9.8,83.5,0.033,100,20.83,rain,0,0,,16.4,189.3,1026.1,83.3,16,84.3,7.3,5,,2022-01-04T07:22:14,2022-01-04T17:03:16,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-05,17.1,10.6,13.1,17.1,10.6,13.1,10.4,84.1,0,0,0,,0,0,,18.1,327.2,1025,86.1,15.8,128.6,11.1,6,,2022-01-05T07:22:16,2022-01-05T17:04:08,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ"
san jose,2022-01-06,15.5,11.7,13.2,15.5,11.7,13.2,10.8,85.4,0,0,0,,0,0,,12.8,328.7,1018.2,94.7,13,76.2,6.5,4,,2022-01-06T07:22:16,2022-01-06T17:05:01,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ"
san jose,2022-01-07,15,10,12,15,9.1,12,9.1,82.3,0.008,100,16.67,rain,0,0,22.3,21.9,127.3,1015.1,90.4,15.8,60.9,5.3,3,,2022-01-07T07:22:13,2022-01-07T17:05:56,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-08,14.3,6.7,10.6,14.3,5.2,10.3,7.3,80.2,0,0,0,,0,0,,13,289.2,1020.1,60.9,16,91.9,7.9,6,,2022-01-08T07:22:09,2022-01-08T17:06:52,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ"
san jose,2022-01-09,16.6,3.8,9.3,16.6,1.9,9,5,76.6,0,0,0,,0,0,37.1,11.4,266.3,1024.9,36.5,16,144.8,12.6,6,,2022-01-09T07:22:03,2022-01-09T17:07:48,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
san jose,2022-01-10,17.8,7.2,11.2,17.8,6.2,11,6.7,75.6,0,0,0,,0,0,17.6,13,301.5,1029.2,21.3,15.8,142.3,12.5,6,10,2022-01-10T07:21:54,2022-01-10T17:08:46,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,KLVK,E6873,72492723285,72494523293,KNUQ,E6095"
