name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sanya,2022-01-01,28,20,23.6,28.3,20,23.6,16.3,64.1,0.4,100,16.67,rain,0,0,54.7,30.2,63.2,1020.4,72.4,11,205.9,17.8,8,,2022-01-01T07:13:53,2022-01-01T18:17:05,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
sanya,2022-01-02,28,18,22.7,28.3,18,22.8,16.4,69.4,0,0,0,,0,0,68.4,28.8,75.4,1019.2,71.9,11,217.1,18.6,8,,2022-01-02T07:14:13,2022-01-02T18:17:41,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-03,29,18.6,22.9,29.1,18.6,23,16.1,66.6,0,0,0,,0,0,69.5,23.3,75.8,1017.9,32.6,11.4,211.7,18.1,8,,2022-01-03T07:14:33,2022-01-03T18:18:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-04,28,19,22.6,28.9,19,22.7,18.5,78.8,0,0,0,,0,0,55.4,18,48.7,1016.7,71.2,11,181.8,15.7,7,,2022-01-04T07:14:51,2022-01-04T18:18:54,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-05,27,19,23.2,28.5,19,23.2,19.7,81.6,0,0,0,,0,0,50,16.9,68.8,1014.9,53.7,10.5,218.1,18.9,8,,2022-01-05T07:15:08,2022-01-05T18:19:31,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-06,29,20.3,23.8,29.9,20.3,23.9,18.8,75.4,0,0,0,,0,0,51.5,21.6,93.2,1016.2,62.2,11.1,227.5,19.6,8,,2022-01-06T07:15:24,2022-01-06T18:20:09,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-07,30,19,23.7,30.4,19,23.8,17.1,68.2,0,0,0,,0,0,60.1,24.5,74.3,1017.5,62.3,10.9,223.6,19.4,8,,2022-01-07T07:15:39,2022-01-07T18:20:47,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-08,27,18.5,22.9,28.2,18.5,23.1,18.1,75.1,0,0,0,,0,0,52.9,25.2,77.9,1016.8,64,11,199.2,17.3,7,,2022-01-08T07:15:53,2022-01-08T18:21:24,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-09,28,20.5,23.7,29.3,20.5,23.9,19.2,77.1,0,0,0,,0,0,51.1,21.3,86.7,1015.3,48.7,10.3,217.7,18.7,8,,2022-01-09T07:16:05,2022-01-09T18:22:02,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
sanya,2022-01-10,28,19.5,23.3,29.7,19.5,23.6,19.9,81.7,0,0,0,,0,0,36,18.1,105.6,1015,39,10.6,212.5,18.4,8,10,2022-01-10T07:16:17,2022-01-10T18:22:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
