name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
savannah,2022-01-01,27.6,19.7,22.1,28.3,19.7,22.2,17.2,74.3,0,0,0,,0,0,42.1,23.6,198.7,1015.2,43.6,15.9,257.1,11,5,,2022-01-01T07:25:17,2022-01-01T17:30:56,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-02,27.5,19.8,22.3,28.4,19.8,22.3,17.1,72.6,0,0,0,,0,0,40.1,28.3,197,1012.1,34.5,16,268.7,11.7,6,,2022-01-02T07:25:29,2022-01-02T17:31:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-03,21.7,7.9,13.3,21.7,6.4,13,6.9,65.5,2.21,100,16.67,rain,0,0,71.8,47,267.7,1015.9,63.3,16,204.1,8.7,5,,2022-01-03T07:25:40,2022-01-03T17:32:26,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-04,14.6,3.8,9.3,14.6,0.3,8.2,3.8,69.1,0,0,0,,0,0,29.5,18.3,50.5,1025.9,32.1,16,308.9,13.4,6,,2022-01-04T07:25:48,2022-01-04T17:33:13,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,KSAV,FSRG1,72207003822"
savannah,2022-01-05,16.8,9.1,11.9,16.8,7.5,11.7,7.6,75.6,0,0,0,,0,0,,17.7,298.5,1017.1,65.4,15.8,216.3,9.4,6,,2022-01-05T07:25:55,2022-01-05T17:34:00,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-06,18.8,5.5,11.8,18.8,4.7,11.7,6.7,72.2,0,0,0,,0,0,31.7,19.8,211.5,1014.4,14.6,15.4,312.9,13.4,6,,2022-01-06T07:26:00,2022-01-06T17:34:48,0.13,Clear,Clear conditions throughout the day.,clear-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-07,16.1,3.4,10.5,16.1,2.8,9.7,0.6,51.9,0,0,0,,0,0,50.8,28.4,306.2,1020.7,29.1,16,333.4,14.4,6,,2022-01-07T07:26:03,2022-01-07T17:35:37,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-08,13,2.6,7.7,13,0.4,6.4,2.4,69.6,0,0,0,,0,0,37.1,22.8,49.7,1031.4,38.4,16,209.2,9.1,5,,2022-01-08T07:26:05,2022-01-08T17:36:27,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-09,23.9,6.1,15.3,23.9,6.1,15,10.7,74.7,0.093,100,4.17,rain,0,0,46.4,24,172.1,1026.8,39.5,15.9,274.1,11.9,5,,2022-01-09T07:26:05,2022-01-09T17:37:17,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-10,16.6,3.6,12.8,16.6,3.6,12.7,7.7,73.2,11.947,100,25,rain,0,0,33.7,22.4,333.3,1023.8,64.5,15.4,145.6,8.3,4,10,2022-01-10T07:26:03,2022-01-10T17:38:09,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-11,12.3,1.7,6.3,12.3,-1.2,4.6,-1.2,60.6,0,0,0,,0,0,40.7,22.7,48.8,1030.5,4.6,16,171.1,14.7,6,10,2022-01-11T07:25:59,2022-01-11T17:39:00,0.29,Clear,Clear conditions throughout the day.,clear-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
savannah,2022-01-12,15.8,1.9,7.8,15.8,-0.9,7.1,2.6,70.2,0,0,0,,0,0,23,12.3,22.1,1026.4,41.2,16,136.3,11.9,6,10,2022-01-12T07:25:54,2022-01-12T17:39:53,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SVNS1,74780413824,KSVN,KLHW,72209003875,F7647,KSAV,72207003822"
