name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sevastopol,2022-01-01,8,2.8,5.9,4.7,-1.1,1.9,5.6,98.4,12.382,100,12.5,rain,0,0,59.7,37.4,249.6,1012.7,98,6.1,13.9,1.2,1,,2022-01-01T08:22:53,2022-01-01T17:16:09,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-02,5,-3.7,1.6,1.9,-7.4,-2.8,-0.2,88.7,2.493,100,8.33,"rain,snow",0,0,82.8,32.4,313.1,1017.3,92.4,8,82.2,7.1,4,,2022-01-02T08:22:55,2022-01-02T17:17:04,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-03,9,-4.8,3.7,5.1,-8.7,-0.7,1.9,88.7,0.148,100,4.17,rain,0,0,64.8,39.6,219,1012.4,86.1,8.3,39.8,3.3,2,,2022-01-03T08:22:54,2022-01-03T17:18:01,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-04,7,1.4,5.4,4.9,-4.2,1.7,4.9,96.6,1.589,100,8.33,rain,0,0,82.8,33.4,250.6,1009.7,76,8.6,79.2,6.9,4,,2022-01-04T08:22:51,2022-01-04T17:18:59,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-05,11,1.7,7.8,11,-3.1,5,5,83.3,0,0,0,,0,0,59.4,36,213.6,1008.6,69.9,9.8,58.1,5,3,,2022-01-05T08:22:45,2022-01-05T17:20:00,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33998099999,33946099999,URFF"
sevastopol,2022-01-06,12,7.2,10.2,12,3.1,8.9,9.9,97.7,0,0,0,,0,0,61.2,36,223.2,1008.6,96.1,8.7,66.8,5.7,3,,2022-01-06T08:22:37,2022-01-06T17:21:02,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"33998099999,33946099999,URFF"
sevastopol,2022-01-07,10,0,5.3,10,-4.9,2.6,3.5,89,0,0,0,,0,0,64.8,27.1,327.2,1018,77.3,8.4,54,4.8,3,,2022-01-07T08:22:26,2022-01-07T17:22:05,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33998099999,33946099999,URFF"
sevastopol,2022-01-08,6,-1.2,2,1.5,-7.2,-3,-1.5,78.6,0,0,0,,0,0,46.8,32.4,61.4,1020.3,69.7,9.4,58.9,4.9,3,,2022-01-08T08:22:13,2022-01-08T17:23:11,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33998099999,33946099999,URFF"
sevastopol,2022-01-09,10,1.9,5.4,10,-1.4,4,2.9,84.8,0,0,0,,0,0,,14.4,97.2,1008.6,79.5,9.3,32.5,2.7,1,,2022-01-09T08:21:57,2022-01-09T17:24:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33998099999,33946099999,URFF"
sevastopol,2022-01-10,5.6,0,3.3,3.5,-4.9,-1,2.6,95.5,0.148,100,4.17,rain,0,0,46.8,39.6,53.6,1006.7,75.8,3,75,6.5,3,10,2022-01-10T08:21:39,2022-01-10T17:25:26,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-11,3.4,-3,0.9,-1.1,-9.8,-4.9,0.3,96.3,0.887,100,8.33,"rain,snow",0,0,57.6,36,42.8,1014.7,92.1,2.4,53.2,4.7,2,10,2022-01-11T08:21:18,2022-01-11T17:26:35,0.28,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-12,-1.9,-9.2,-5.6,-7,-16.4,-12,-7.1,89.9,0.796,100,8.33,"rain,snow",1.6,0.8,56.2,25.2,5.9,1022.2,94.7,7.2,86,7.5,3,10,2022-01-12T08:20:54,2022-01-12T17:27:46,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"33998099999,33946099999,URFF"
sevastopol,2022-01-13,-5,-10.7,-8.5,-10,-17.7,-13.8,-11.8,77.3,0.247,100,4.17,snow,0.4,1.7,38.2,21.6,275,1026.9,77.8,9.6,78.4,6.8,3,10,2022-01-13T08:20:29,2022-01-13T17:28:58,0.35,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"33998099999,33946099999,URFF"
sevastopol,2022-01-14,4,-5.9,1,-1.1,-14.6,-4.9,-0.4,90.5,1.331,100,8.33,"rain,snow",0,0.4,72.2,50.6,254.7,1014.3,99.7,7.2,16.8,1.4,1,10,2022-01-14T08:20:00,2022-01-14T17:30:12,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-15,4,-2,1,-1.4,-10.1,-5.1,-3,75.5,0.507,100,4.17,"rain,snow",0,0,100.8,48.8,298.9,1008.6,64.9,9.5,65.4,5.8,2,10,2022-01-15T08:19:29,2022-01-15T17:31:26,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-16,3,-3.4,-0.3,0,-10.3,-4.6,-4.5,75,1.166,100,8.33,snow,0,0,104.4,37.1,307.8,1019.8,79.5,9.8,59.1,5.3,2,10,2022-01-16T08:18:56,2022-01-16T17:32:42,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,rain,"33998099999,33946099999,URFF"
sevastopol,2022-01-17,6,-2.8,1.9,0.7,-6.2,-2.5,-2.3,74,0.507,100,4.17,"rain,snow",0,0,57.6,39.6,222.6,1014.2,92.3,9.2,49.9,4.4,2,10,2022-01-17T08:18:21,2022-01-17T17:33:58,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"33998099999,33946099999,URFF"
