name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
shenyang,2022-01-01,3,-13,-4.7,-1.4,-20.7,-9.9,-13,53,0.458,100,4.17,snow,0,0,43.2,28.8,140.9,1025.8,62.5,12.4,69.6,6.1,3,,2022-01-01T07:13:52,2022-01-01T16:25:54,0.94,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-02,-3.9,-18,-9.7,-8.9,-20.5,-13.5,-18.8,49.8,0.003,100,4.17,snow,0,0,39.9,16.3,204.9,1029.8,10.5,12.5,108.4,9.3,5,,2022-01-02T07:13:57,2022-01-02T16:26:46,0.98,Snow,Clear conditions throughout the day with early morning snow.,snow,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-03,-1.3,-13.5,-7.3,-5.6,-15.5,-10.4,-16.8,49.1,0,0,0,,0,0,27,16.3,323.6,1025.8,15.3,12.5,102.6,8.8,4,,2022-01-03T07:14:00,2022-01-03T16:27:39,0,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-04,-4.7,-17.5,-10.5,-4.7,-18.9,-12.9,-20.8,44.6,0,0,0,,0,0,26,10.8,42.1,1032.9,0,12.2,107.5,9.3,5,,2022-01-04T07:14:01,2022-01-04T16:28:34,0.05,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-05,-1.6,-18,-10.6,-4.5,-25.8,-13.8,-16.4,64.1,0,0,0,,0,0,17.4,16.1,95.8,1030.2,3.1,9,99.8,8.6,4,,2022-01-05T07:14:00,2022-01-05T16:29:30,0.08,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-06,-3,-14.1,-9.4,-5.9,-21.5,-12.3,-15.4,64.5,0,0,0,,0,0,19.4,14.4,48.4,1033.6,0,7.8,106.7,9.2,5,,2022-01-06T07:13:56,2022-01-06T16:30:28,0.11,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-07,2.8,-13.3,-5.7,-0.6,-17.3,-8.7,-10.6,69.6,0,0,0,,0,0,28.1,18,182.5,1028.5,11.5,8.2,103.1,9,4,,2022-01-07T07:13:50,2022-01-07T16:31:27,0.14,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-08,-1,-11.5,-4.5,-4.1,-16,-8.8,-10.7,62.9,0,0,0,,0,0,30.6,18,324.8,1024.3,37.1,8.6,99.6,8.7,4,,2022-01-08T07:13:41,2022-01-08T16:32:28,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-09,-2.8,-15.6,-10,-2.8,-20.8,-12.2,-15.2,67.5,0,0,0,,0,0,27.3,9.1,53,1027.1,0,5,95,8.2,4,,2022-01-09T07:13:30,2022-01-09T16:33:30,0.21,Clear,Clear conditions throughout the day.,clear-day,"54342499999,54346099999,ZYTX,54342099999"
shenyang,2022-01-10,-6,-15.5,-10.3,-11.2,-22,-15.3,-17.2,59.2,0.194,100,4.17,snow,0,0.1,34.9,19.9,3.9,1026.6,37.3,11,55.8,4.7,2,10,2022-01-10T07:13:17,2022-01-10T16:34:33,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"54342499999,54346099999,ZYTX,54342099999"
