name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Shiyan, China, China",2022-01-01,13.2,-2.7,3,13.2,-6.2,1.4,-3.3,66.5,0,0,0,,,,28.4,15.8,274.1,1030.3,9.4,9.4,155.1,13.4,6,,2022-01-01T07:39:02,2022-01-01T17:41:47,0.94,Clear,Clear conditions throughout the day.,clear-day,"57259099999,remote"
"Shiyan, China, China",2022-01-02,11.9,-3.1,3.4,11.9,-5.2,1.9,-2.8,66.3,0,0,0,,,,26.6,11.5,168.5,1028.1,9.9,10.4,145.7,12.6,6,,2022-01-02T07:39:15,2022-01-02T17:42:31,0.98,Clear,Clear conditions throughout the day.,clear-day,"57259099999,remote"
"Shiyan, China, China",2022-01-03,12.8,-3.1,3.8,12.8,-3.9,2.7,-1.4,72.3,0,0,0,,,,22.3,11.9,172.5,1025.4,7.8,3.7,148.4,12.7,6,,2022-01-03T07:39:25,2022-01-03T17:43:16,0,Clear,Clear conditions throughout the day.,clear-day,"57259099999,remote"
"Shiyan, China, China",2022-01-04,7.2,-1.7,2,6.4,-4.1,0.8,-0.5,85.1,0.6,100,8.33,rain,,0,22.3,10.1,91.1,1024.9,80,1.9,60.5,5.2,3,,2022-01-04T07:39:34,2022-01-04T17:44:03,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"57259099999,remote"
"Shiyan, China, China",2022-01-05,8.4,-3,1.6,7.9,-4.8,0.2,-0.9,85,0.3,100,4.17,rain,,0,24.1,11.9,97.7,1027.4,39.7,3.4,128.8,11.3,5,,2022-01-05T07:39:42,2022-01-05T17:44:50,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"57259099999,remote"
"Shiyan, China, China",2022-01-06,5.2,-2.7,0.9,2.8,-4.9,-1.6,-1.7,84.2,0,0,0,,,,24.8,11.5,93.8,1031.8,94.6,8,67.6,5.8,3,,2022-01-06T07:39:47,2022-01-06T17:45:38,0.11,Overcast,Cloudy skies throughout the day.,cloudy,"57259099999,remote"
"Shiyan, China, China",2022-01-07,8,-3.2,1.9,7.1,-5.5,0.9,-1,82.5,0,0,0,,,,23.4,10.4,90.1,1031.8,68.6,11.3,119.8,10.2,5,,2022-01-07T07:39:51,2022-01-07T17:46:27,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57259099999,remote"
"Shiyan, China, China",2022-01-08,7.7,-1.5,2.7,6.5,-2.5,2.2,0.4,86.3,0.7,100,8.33,rain,,0,15.8,9,332.8,1028.4,44.8,5.9,104.1,9,4,,2022-01-08T07:39:53,2022-01-08T17:47:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"57259099999,remote"
"Shiyan, China, China",2022-01-09,11,-1.9,4,11,-4.6,3,1.3,83.9,0,0,0,,,0,8.6,7.9,169.5,1023.6,10.8,6.9,147.3,12.6,6,,2022-01-09T07:39:53,2022-01-09T17:48:08,0.21,Clear,Clear conditions throughout the day.,clear-day,"57259099999,remote"
"Shiyan, China, China",2022-01-10,10.7,-0.7,4.3,10.7,-3.6,2.5,-0.7,73.1,0.4,100,8.33,rain,0,0,30.2,17.3,320.6,1026.8,41.1,10.8,121.5,10.6,5,10,2022-01-10T07:39:51,2022-01-10T17:48:59,0.25,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"57259099999,remote"
