name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
st louis,2022-01-01,13.5,-1.7,3.5,13.5,-8.3,-0.4,2.4,92.8,17.452,100,75,"rain,snow",0,0,38.9,26.8,346,1007.3,98.6,11.6,17.3,0.6,0,,2022-01-01T07:18:48,2022-01-01T16:50:21,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-02,-2.2,-7.2,-5.7,-8.9,-14.7,-12.8,-8.1,83.4,0,0,0,,0,0,45.7,28.8,326.5,1023.1,99.6,15.6,71.3,3.1,2,,2022-01-02T07:18:55,2022-01-02T16:51:10,0,Overcast,Cloudy skies throughout the day.,cloudy,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-03,0.1,-10.7,-5.5,-2.8,-16.1,-9,-10.8,67.3,0,0,0,,0,0,,16.4,217.4,1030.4,15.1,16,215.1,9.3,5,,2022-01-03T07:19:00,2022-01-03T16:52:01,0.03,Clear,Clear conditions throughout the day.,clear-day,"MBGM7,KBLV,D6513,KSTL,72434013994,KCPS,72433813802,72531403960"
st louis,2022-01-04,3.6,-4.8,-0.6,-1.4,-9.4,-5.3,-4.9,73.2,0,0,0,,0,0,51.2,29.4,172.3,1016.5,8.7,16,209.5,9.1,5,,2022-01-04T07:19:03,2022-01-04T16:52:53,0.06,Clear,Clear conditions throughout the day.,clear-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-05,4,-6.2,-1.3,0.1,-13.5,-7.2,-9,56.2,0,0,0,,0,0,54.5,29,286.4,1015.4,24.7,16,222.2,9.6,5,,2022-01-05T07:19:04,2022-01-05T16:53:47,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-06,-6.6,-11.7,-8.4,-12.6,-20,-15.8,-14.7,61,0,0,0,,0,0,37.1,26.3,319.7,1024.2,60.5,15.2,112.2,4.8,3,,2022-01-06T07:19:02,2022-01-06T16:54:42,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-07,-5.1,-13.8,-9.8,-6.8,-22,-14.6,-16.9,56.9,0,0,0,,0,0,38.9,23.3,59.1,1028.9,22.3,15.8,184.9,8.2,5,,2022-01-07T07:18:58,2022-01-07T16:55:38,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-08,4.6,-8.2,-0.9,2.5,-14.8,-5.6,-4.8,75.3,0.654,100,20.83,rain,0,0,38.9,20.6,155.5,1020.2,79.6,14.9,43.8,1.9,1,,2022-01-08T07:18:53,2022-01-08T16:56:35,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-09,6.8,-7.1,0.2,5.6,-10.4,-3.8,-5.3,68.7,3.333,100,20.83,rain,0,0,48.2,30.8,342.1,1029.6,38,14.4,151.2,6.4,4,,2022-01-09T07:18:45,2022-01-09T16:57:33,0.25,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-10,3.8,-8.8,-3.5,-0.5,-13,-6.3,-10,62.5,0,0,0,,0,0,31.7,22.1,333.4,1036.4,0.6,16,211.7,9.1,5,,2022-01-10T07:18:35,2022-01-10T16:58:32,0.26,Clear,Clear conditions throughout the day.,clear-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
st louis,2022-01-11,9,-7.8,0.1,6,-12.5,-2.9,-7.1,60.2,0,0,0,,0,0,31.7,22.6,171.4,1030.6,2.8,16,225.2,9.8,5,,2022-01-11T07:18:23,2022-01-11T16:59:33,0.29,Clear,Clear conditions throughout the day.,clear-day,"MBGM7,KBLV,D6513,KSTL,KCPS,72434013994,72433813802,72531403960"
