name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
st petersburg,2022-01-01,-1,-8.2,-4.1,-3.5,-17.6,-10.7,-7.2,78.9,0.009,100,4.17,snow,1.9,30.8,43.2,36,307.2,1004.6,68.5,10.3,10,0.8,1,,2022-01-01T10:00:32,2022-01-01T16:04:22,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-02,-7,-11.8,-8.4,-7,-18.7,-13.8,-10.3,85.6,0,0,0,,0,27.5,,36,271.4,1012.3,69.4,10.5,6.2,0.4,0,,2022-01-02T10:00:01,2022-01-02T16:05:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-03,-6,-8,-6.9,-9.3,-16.2,-12.9,-8.8,86.8,2.456,100,8.33,snow,1.2,27.6,,25.2,111.9,998.1,98.6,8.7,9.7,0.7,1,,2022-01-03T09:59:25,2022-01-03T16:07:22,0.02,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-04,-2,-6,-4.8,-5.1,-13.1,-10.5,-6.4,88.6,4.67,100,8.33,snow,2.1,29.5,,21.6,126,993.3,95.6,7.1,6.8,0.6,0,,2022-01-04T09:58:44,2022-01-04T16:08:59,0.05,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-05,1.2,-0.8,0.6,0.8,-5.9,-2.7,-0.6,91.8,6.336,100,8.33,"rain,snow",0.8,30.9,46.8,25.2,186.7,986.9,98.3,8.3,5.3,0.4,0,,2022-01-05T09:57:58,2022-01-05T16:10:41,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-06,0,-9,-3.2,-0.7,-18.5,-7.5,-4.7,89.1,4.423,100,8.33,"rain,snow",3.8,31.5,,32.4,300.1,989.3,92,7,11.5,1.1,1,,2022-01-06T09:57:07,2022-01-06T16:12:26,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-07,-6.2,-15,-11.2,-11,-24.5,-18.7,-13.7,81.9,2.136,100,8.33,snow,2.3,35.6,41.6,28.8,294.4,998.7,81.3,7.9,7.2,0.6,0,,2022-01-07T09:56:12,2022-01-07T16:14:15,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-08,-8,-15.5,-12,-11,-22.7,-16.9,-13.9,86.1,0.6,100,8.33,snow,0.6,35.5,,18,140.3,1011.5,85.5,9.2,12.5,1.2,1,,2022-01-08T09:55:11,2022-01-08T16:16:07,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-09,-3,-9,-5.5,-3,-15.3,-8.4,-7,89.4,4.652,100,16.67,snow,1,36.4,,14.4,151.7,1008.3,97.1,6.7,5.8,0.4,0,,2022-01-09T09:54:06,2022-01-09T16:18:04,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
st petersburg,2022-01-10,-4,-12,-6.9,-4,-17.9,-10.9,-9.1,84.6,0.291,100,8.33,snow,0.4,37.2,9,14.4,348.4,1023.4,90.8,9.4,21.7,1.7,1,10,2022-01-10T09:52:57,2022-01-10T16:20:03,0.25,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"26063099999,ULLI,26072099999,26067099999,26069099999"
