name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tallahassee,2022-01-01,26.2,20,22.8,26.2,20,22.8,20,85.1,0,0,0,,0,0,42.9,29.3,174.7,1015.5,85.4,15.9,205.4,8.1,5,,2022-01-01T07:34:12,2022-01-01T17:47:33,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-02,27.8,21.1,23.8,30,21.1,24.1,20.9,84.3,2.864,100,25,rain,0,0,51.1,36.8,195.8,1012.2,83.2,15.9,202.1,7.9,5,,2022-01-02T07:34:25,2022-01-02T17:48:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-03,19.7,2.2,7.5,19.7,-0.4,5,2.7,72.2,0.294,100,4.17,rain,0,0,61.5,42,311.5,1021.8,63.8,15.9,244.1,9.8,6,,2022-01-03T07:34:37,2022-01-03T17:49:00,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-04,15.6,0.7,8.1,15.6,-1.1,7.5,4.3,78.1,0,0,0,,0,0,18.4,9.4,30.1,1024.5,48.2,16,243.1,9.6,6,,2022-01-04T07:34:46,2022-01-04T17:49:45,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-05,18.8,7.2,13.1,18.8,7.2,13,8.1,74.6,0,0,0,,0,0,18.4,22,322,1018,65.6,14.7,298.5,12,6,,2022-01-05T07:34:55,2022-01-05T17:50:31,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-06,21.1,3.9,12.3,21.1,3.9,12.3,9.3,83.5,0.895,100,16.67,rain,0,0,35.4,24.1,158.1,1015.2,45.9,13.8,278.4,11.1,5,,2022-01-06T07:35:01,2022-01-06T17:51:18,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-07,16,5,10.7,16,2.8,9.9,3.9,66.4,0,0,0,,0,0,31.7,25.4,357.3,1021.8,24.3,15.4,333.5,13.3,6,,2022-01-07T07:35:06,2022-01-07T17:52:06,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-08,20,2.2,11.3,20,1.8,10.8,4.2,63.7,0,0,0,,0,0,20.5,16.5,78.1,1028,24.7,16,320.7,12.8,6,,2022-01-08T07:35:09,2022-01-08T17:52:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-09,23.9,12.8,17.6,23.9,12.8,17.6,14.8,84.6,2.392,100,8.33,rain,0,0,38.9,27.5,150.8,1025.9,50,15.5,233.7,9.4,5,,2022-01-09T07:35:10,2022-01-09T17:53:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-10,17.9,7.1,14.3,17.9,5.5,14.1,8.6,72.3,18.824,100,12.5,rain,0,0,64.4,30.8,353,1025,61.8,13.7,189.9,11,6,10,2022-01-10T07:35:10,2022-01-10T17:54:32,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-11,14.3,2.8,8.4,14.3,1.3,7.1,-3.3,44.9,0,0,0,,0,0,39.2,21.9,17.8,1029.8,16.6,16,159.2,13.8,6,10,2022-01-11T07:35:08,2022-01-11T17:55:22,0.29,Clear,Clear conditions throughout the day.,clear-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-12,16.6,5.5,10.6,16.6,3.8,9.8,5.1,69.6,0,0,0,,0,0,30.2,12.6,38.9,1025.1,59.7,15.8,101.1,8.7,4,10,2022-01-12T07:35:05,2022-01-12T17:56:12,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-13,17.8,4.9,10.8,17.8,4,10.3,4.3,69,0,0,0,,0,0,31.1,21.7,291.8,1016.9,26.7,14.5,155.8,13.5,6,10,2022-01-13T07:34:59,2022-01-13T17:57:03,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-14,17.8,3.9,9.9,17.8,3.1,9.5,2.2,64.9,0,0,0,,0,0,27.7,16.3,317,1015.1,29.3,15.2,157.5,13.6,6,10,2022-01-14T07:34:52,2022-01-14T17:57:54,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-15,19.4,2.2,10.6,19.4,1.7,10.5,6.4,77.5,17.644,100,20.83,rain,0,0,51.5,25.8,124,1014.6,47.8,13.5,146.5,12.8,6,10,2022-01-15T07:34:44,2022-01-15T17:58:46,0.42,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-16,15.9,6.6,10.6,15.9,2.6,9.2,6.2,74.7,49.468,100,25,rain,0,0,68.5,32.6,257.3,1006.1,95.4,14.3,87,7.7,4,10,2022-01-16T07:34:33,2022-01-16T17:59:38,0.46,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-17,15,3.3,8.2,15,-0.3,5.7,0.6,61.4,0,0,0,,0,0,46.1,32.6,298.5,1015.6,24.8,16,163,14.2,6,10,2022-01-17T07:34:21,2022-01-17T18:00:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-18,16.1,-2.7,5.6,16.1,-4.7,5.2,-0.8,68.4,0,0,0,,0,0,22,14.4,352.5,1022.9,10.9,16,163.9,14.2,6,10,2022-01-18T07:34:08,2022-01-18T18:01:23,0.53,Clear,Clear conditions throughout the day.,clear-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W"
tallahassee,2022-01-19,19,-1.1,7.9,19,-1.1,7.8,1.5,69.5,0,0,0,,0,0,20.5,12.7,146.1,1022.9,18.9,16,164,14.2,6,10,2022-01-19T07:33:52,2022-01-19T18:02:16,0.56,Clear,Clear conditions throughout the day.,clear-day,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-20,18.6,3.4,10.6,18.6,3.4,10.6,9.2,91.1,8.689,100,33.33,rain,0,0,35.6,17.7,55.6,1018.6,61.8,14.8,63.7,5.6,3,10,2022-01-20T07:33:35,2022-01-20T18:03:09,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-21,10.9,7,8.1,10.9,3.3,6,7,93,4.271,100,41.67,rain,0,0,34.6,22,357.4,1021.6,100,13.6,30.8,2.7,2,10,2022-01-21T07:33:17,2022-01-21T18:04:02,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
tallahassee,2022-01-22,6.6,3.8,5.1,4.4,0,2.2,2.9,86,0.294,100,4.17,rain,0,0,35.6,18.1,13.1,1024.9,99.9,15.9,40.4,3.4,2,10,2022-01-22T07:32:56,2022-01-22T18:04:55,0.67,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72214093805,K2J9,KTLH,KBGE,72026853882,1080W,99999900325"
