name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa,2022-01-01,27.3,19.9,23.1,29.5,19.9,23.3,19.8,81.9,0,0,0,,0,0,27.7,21.6,188.1,1017.6,46.2,10.3,157,11.1,7,,2022-01-01T07:21:20,2022-01-01T17:45:50,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-02,27.3,22.1,24.2,30,22.1,24.6,21.8,87.1,0,0,0,,0,0,40.7,25,186.1,1016.5,36,15.4,137.8,11.5,7,,2022-01-02T07:21:35,2022-01-02T17:46:32,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-03,23.9,12.2,17.8,23.9,12.2,17.8,12,69.8,0.816,100,4.17,rain,0,0,45,26.2,310.3,1019.6,39.7,15.7,136.4,11.6,8,,2022-01-03T07:21:48,2022-01-03T17:47:14,0.03,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-04,24.1,9,16.7,24.1,7.8,16.5,10.7,68.1,0,0,0,,0,0,,15.5,45.6,1021.7,36.4,16,116,8.7,7,,2022-01-04T07:21:59,2022-01-04T17:47:57,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-05,23.1,14.6,18.6,23.1,14.6,18.6,14.4,77,0.346,100,4.17,rain,0,0,27.7,17.2,331.2,1017,61.7,16,101,8.3,7,,2022-01-05T07:22:09,2022-01-05T17:48:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-06,23.2,12.6,18.2,23.2,12.6,18.2,12.3,70.2,0.069,100,4.17,rain,0,0,,12.1,234.3,1016.4,52.3,15.9,112.5,9.2,8,,2022-01-06T07:22:18,2022-01-06T17:49:26,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-07,25.9,17.8,21.4,25.9,17.8,21.4,16.2,73.1,0,0,0,,0,0,35.3,16,356.4,1019.6,39.5,15.9,161.8,13.6,8,,2022-01-07T07:22:25,2022-01-07T17:50:11,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-08,27,14.3,20.2,27.2,14.3,20.3,13.4,66.1,0,0,0,,0,0,27.7,20.7,73.5,1026.1,8.9,16,145.8,12.2,8,,2022-01-08T07:22:30,2022-01-08T17:50:57,0.19,Clear,Clear conditions throughout the day.,clear-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-09,28.1,17.3,22.3,29.9,17.3,22.7,17.6,75.6,0,0,0,,0,0,33.5,19.7,100.9,1025.6,39.1,15.5,95.6,7.8,4,,2022-01-09T07:22:34,2022-01-09T17:51:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
tampa,2022-01-10,26.5,18.3,21.9,26.5,18.3,21.9,18.1,79.7,0,0,0,,0,0,31.3,19.4,321.5,1022.6,57.7,15.1,112.8,9.4,7,30,2022-01-10T07:22:36,2022-01-10T17:52:30,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842,72202192816,KVDF"
