name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vancouver,2022-01-01,3.2,-4.2,-0.4,3.2,-6.8,-2.7,-4.8,72.9,0.01,100,8.33,rain,0.2,0.4,36.6,21.8,79.1,1021.3,93.9,34.5,18.3,1.6,1,,2022-01-01T08:07:45,2022-01-01T16:24:50,0.97,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-02,5.4,1.1,4.1,5.3,-3.2,1.4,1.6,84.5,11.435,100,87.5,"rain,snow",0.1,0.6,53.6,23,95.3,1004.8,88.9,26.3,9.7,0.7,0,,2022-01-02T08:07:40,2022-01-02T16:25:52,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-03,5,1.5,3.7,4.8,-1.7,1.7,1.7,86.8,10.753,100,66.67,"rain,snow",0,0.2,44.3,22,119.7,997.1,81.9,28.3,22.8,1.9,2,,2022-01-03T08:07:32,2022-01-03T16:26:56,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"71608099999,CWWA,71211099999,71775099999,71784099999,E9431,71892099999,CWMM,71042099999,71201099999,F1856"
vancouver,2022-01-04,4.2,-0.4,2.2,4,-2,0.5,1.3,93.9,17.194,100,83.33,"rain,snow",0,0.2,40.7,16.6,100.2,1012.6,78.1,19.6,13.8,1.2,1,,2022-01-04T08:07:21,2022-01-04T16:28:03,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"71608099999,CWWA,71784099999,D3147,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-05,1.4,-1.7,-0.1,1.4,-6.6,-1.2,-1.2,92.2,1.082,100,37.5,"rain,snow",0.3,0.3,90.7,15.6,52.7,1020.8,97.1,19.7,11.5,1,1,,2022-01-05T08:07:07,2022-01-05T16:29:11,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-06,4,-2,0.9,0.3,-6.8,-2.7,0.5,96.9,9.925,100,75,"rain,snow",0.2,0.5,25.9,25.7,84.7,1002.1,98.7,10.1,4.7,0.3,0,,2022-01-06T08:06:49,2022-01-06T16:30:22,0.13,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71608099999,CWWA,71784099999,KORS,71892099999,71042099999,71201099999,71108099999,F1856"
vancouver,2022-01-07,4.1,0.5,2.7,2,-5.7,-2.7,-0.6,80.4,0.136,100,20.83,rain,0,0.2,35.3,59.2,287.4,998.6,89.7,32.6,48.8,4.3,3,,2022-01-07T08:06:29,2022-01-07T16:31:35,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KORS,71892099999,71108099999,F1856"
vancouver,2022-01-08,3.8,0.6,2.2,3.5,-1.9,0.8,0,85.7,7.076,100,50,"rain,snow",0,0.1,,12.6,57.6,1021.8,84.3,24.7,11.7,1,1,,2022-01-08T08:06:06,2022-01-08T16:32:50,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-09,7.2,1.5,4.4,7.2,1.5,4,2.8,89.1,2.362,100,8.33,rain,0,0.2,70.2,7.9,27.3,1026.4,49.6,29.9,53.9,4.7,3,,2022-01-09T08:05:40,2022-01-09T16:34:06,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2022-01-10,7.4,2.3,5.4,7.4,1.6,4.2,4,91.1,8.805,100,54.17,rain,0,0.1,63,14.6,70.1,1025.1,84.6,24.6,6.2,0.5,0,10,2022-01-10T08:05:11,2022-01-10T16:35:25,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71211099999,F1130,71784099999,71892099999,71042099999,71201099999,F1856"
