name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
venice,2022-01-01,4.2,0.9,2.2,3,-1.6,1.3,1.9,97.9,0,0,0,,0,0,,9.8,269.7,1025.4,75.8,0.2,73.2,6.3,4,,2022-01-01T07:50:43,2022-01-01T16:38:02,0.95,Partially cloudy,Partly cloudy throughout the day.,fog,"D9151,16099099999,LIPS,LIPZ,LIPH,16105099999,16098099999"
venice,2022-01-02,4.1,0.9,2.3,4.1,-1.6,1.4,2.2,99,0,0,0,,0,0,,9,351.2,1024.9,81,0.4,65.9,5.6,3,,2022-01-02T07:50:44,2022-01-02T16:38:58,0,Partially cloudy,Partly cloudy throughout the day.,fog,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-03,8.1,4,5.7,8.1,1.5,4.7,4.8,94.1,0,0,0,,0,0,,10.1,288.9,1020.6,94.5,3.5,58.3,5,3,,2022-01-03T07:50:43,2022-01-03T16:39:56,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"D9151,16099099999,LIPZ,LIPH,16105099999,16098099999"
venice,2022-01-04,7.1,6.1,6.8,6.9,4.6,5.8,5.5,91.9,0.01,100,4.17,rain,0,0,,8.9,14.9,1012.7,90.9,3.6,34.6,2.9,2,,2022-01-04T07:50:39,2022-01-04T16:40:56,0.06,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-05,10.9,4.1,7.7,10.9,-2.1,5.8,6.6,93.1,4.009,100,12.5,rain,0,0,,48.3,33.3,1003.1,86.4,4,9,0.7,0,,2022-01-05T07:50:32,2022-01-05T16:41:57,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-06,10,2.3,5.3,10,-4,2.3,1.1,75.6,23.273,100,8.33,rain,0,0,,41.1,37.2,1012.5,38.5,10.4,62.3,5.4,3,,2022-01-06T07:50:22,2022-01-06T16:43:01,0.12,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"D9151,16099099999,F2676,16105099999,16098099999"
venice,2022-01-07,7,0.3,3,5.1,-3.8,0,-4.4,59.5,0,0,0,,0,0,,16.3,31.2,1019.7,26.7,11.3,77.8,6.9,4,,2022-01-07T07:50:10,2022-01-07T16:44:06,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-08,6,-2,1.4,4.4,-5.2,-0.9,-4.9,64.2,0,0,0,,0,0,,11,324.3,1014.8,18,10.6,82.1,7.1,4,,2022-01-08T07:49:55,2022-01-08T16:45:13,0.19,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,LIPZ,16105099999,16098099999"
venice,2022-01-09,4.2,-1.9,1.6,3.9,-5.5,-0.7,-2.8,73.3,0,0,0,,0,0,,15.6,339.6,1006.3,71.3,10.9,43.3,3.6,2,,2022-01-09T07:49:37,2022-01-09T16:46:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-10,9.1,1,3.7,8.2,-1.1,2.7,-1.2,71.2,0,0,0,,0,0,11.2,9.2,329.8,1010.7,57.1,11.3,73,6.3,4,10,2022-01-10T07:49:17,2022-01-10T16:47:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-11,10.2,-1.1,3.7,10.2,-2.9,1.6,-2.9,64.8,0,0,0,,0,0,17.6,18.7,17.9,1022.6,0,10.8,86.3,7.4,4,10,2022-01-11T07:48:55,2022-01-11T16:48:42,0.29,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,LIPZ,16105099999,16098099999"
venice,2022-01-12,9,-1.1,2.9,9,-4.5,0.9,-5.6,57.1,0,0,0,,0,0,17.6,15.2,349.6,1030.6,0,10.7,88.9,7.7,4,10,2022-01-12T07:48:30,2022-01-12T16:49:55,0.32,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-13,8.1,-2,2.2,8.1,-6.5,0.2,-5,60.5,0,0,0,,0,0,13,13.6,8.3,1036.3,14.6,10.2,88.5,7.7,4,10,2022-01-13T07:48:02,2022-01-13T16:51:09,0.35,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,LIPZ,F2676,16105099999,16098099999"
venice,2022-01-14,8.2,-1.9,2.4,8.2,-4.5,1.9,-1.7,76.2,0,0,0,,0,0,9.7,7.1,259.9,1031.2,0.8,9.8,76.9,6.6,3,10,2022-01-14T07:47:32,2022-01-14T16:52:24,0.38,Clear,Clear conditions throughout the day.,clear-day,"16099099999,LIPZ,LIPH,F2676,16105099999,16098099999"
venice,2022-01-15,11.2,-1.8,4.2,11.2,-4,3.2,0.1,76.1,0,0,0,,0,0,13.3,9.7,38.1,1025.2,0.5,9,89.1,7.7,4,10,2022-01-15T07:46:59,2022-01-15T16:53:40,0.42,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F2676,16105099999,16098099999"
venice,2022-01-16,10.3,0.1,4.6,10.3,-1.5,3.5,0.7,77.8,0,0,0,,0,0,7.9,11.2,328.5,1023.8,0.2,10.4,91,7.9,4,10,2022-01-16T07:46:24,2022-01-16T16:54:58,0.45,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-17,5.5,1.2,3.3,5,-2.7,1.4,2.5,94.8,0,0,0,,0,0,20.5,14.1,25,1025.1,47.2,1.7,81.2,7,4,10,2022-01-17T07:45:46,2022-01-17T16:56:16,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-18,12.1,0.9,4.9,12.1,-3.1,3.6,1.6,81.3,0,0,0,,0,0,27,15.2,32.7,1031.5,13.2,7.7,92.9,8,4,10,2022-01-18T07:45:06,2022-01-18T16:57:36,0.5,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,LIPZ,16105099999,16098099999"
venice,2022-01-19,7.4,0,3.6,6.6,-2.4,2.1,0.9,83.6,0,0,0,,0,0,14.4,16.2,242,1030.9,28.8,7.9,94.9,8,4,10,2022-01-19T07:44:24,2022-01-19T16:58:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,LIPS,LIPZ,16105099999,16098099999"
venice,2022-01-20,8,1.9,4.1,6.4,-0.8,2.3,2.3,88.4,0,0,0,,0,0,11.2,14.7,304.6,1021.2,55.8,3.6,91.9,7.8,4,10,2022-01-20T07:43:39,2022-01-20T17:00:17,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-21,9,-1.9,2.7,7.6,-5,1,-1.9,75.5,0,0,0,,0,0,35.6,12.7,29.8,1023.2,5.4,6.9,89,7.7,4,10,2022-01-21T07:42:52,2022-01-21T17:01:39,0.62,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-22,5.1,-2.9,-0.1,3.6,-4.8,-1.9,-2,87.4,0,0,0,,0,0,19.8,8.9,319.1,1025.7,13,4.6,94.3,8.1,4,10,2022-01-22T07:42:03,2022-01-22T17:03:02,0.66,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-23,9,-1.8,2.8,9,-5.5,0.7,0.2,84.5,0,0,0,,0,0,18.7,12.6,31.8,1030,23.3,7.7,94.3,8.1,4,10,2022-01-23T07:41:11,2022-01-23T17:04:26,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9151,16099099999,LIPZ,16105099999,16098099999"
venice,2022-01-24,8.1,-1.1,3.1,8.1,-3.7,1.3,0.4,83.5,0,0,0,,0,0,16.2,11.9,18.6,1031.7,26.9,6.4,101.1,8.8,4,10,2022-01-24T07:40:17,2022-01-24T17:05:50,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-25,7.3,2.2,4.6,5.3,0.1,2.8,1.4,80.6,0,0,0,rain,0,0,15.5,17.3,235.3,1032.5,55.7,7.8,111.7,9.3,4,10,2022-01-25T07:39:21,2022-01-25T17:07:15,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-26,6,1.8,3.3,6,-0.5,1.7,1.5,88.5,0,0,0,,0,0,7.6,8.8,281.4,1028.8,86.3,3.4,106.4,9.1,4,10,2022-01-26T07:38:23,2022-01-26T17:08:40,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-27,5.1,0.6,3.3,5.1,-1.5,2.1,1,85.1,0,0,0,,0,0,5,10.1,336.7,1026.6,88.6,3.5,55.6,4.7,2,10,2022-01-27T07:37:23,2022-01-27T17:10:06,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-28,9.9,2.8,5.1,8.5,0.8,3.4,1.3,77.2,0,0,0,,0,0,18,12.7,315.2,1025.7,38.6,5.4,109.7,9.6,4,10,2022-01-28T07:36:21,2022-01-28T17:11:32,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-29,9.2,-1.9,3.6,9.2,-2.2,2.2,0.2,80.1,0,0,0,,0,0,12.6,10.8,24.5,1028.7,0.5,6.7,107.2,9.2,4,10,2022-01-29T07:35:17,2022-01-29T17:12:58,0.9,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-30,9.9,-1.1,3.8,9.9,-4.2,2,-0.5,75.2,0,0,0,,0,0,11.9,10.3,353.4,1020.1,0,9,112.4,9.7,4,10,2022-01-30T07:34:11,2022-01-30T17:14:25,0.94,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-01-31,8.2,0,3.1,8.2,-2.8,1.1,0.3,82,0,0,0,,0,0,20.5,14.1,339.8,1010.9,27.7,7.4,84,7.2,4,10,2022-01-31T07:33:03,2022-01-31T17:15:52,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,16105099999,16098099999"
venice,2022-02-01,10.4,-3,4.4,10.4,-6.2,2.6,0.5,77.6,0,0,0,,0,0,19.8,15,187.5,1010.6,0.3,7,107.2,9.1,5,10,2022-02-01T07:31:53,2022-02-01T17:17:19,0,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16105099999,16098099999"
