name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vienna,2022-01-01,15.3,10.6,13.4,15.3,10.6,13.4,6.9,64.6,0,0,0,,0,0,68.4,36,279.5,1024.8,50.3,41.1,35,2.8,2,,2022-01-01T07:45:20,2022-01-01T16:11:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-02,10.1,5.6,8.1,10.1,4.1,7.7,4.6,78.7,0,0,0,,0,0,,10.8,196.1,1021.2,61.7,15.2,49.4,4.2,3,,2022-01-02T07:45:17,2022-01-02T16:12:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-03,13.3,8,11.8,13.3,7.1,11.7,3.9,58.6,0.995,100,8.33,rain,0,0,64.8,36,274.2,1014.9,69.4,34,49.9,4.3,3,,2022-01-03T07:45:12,2022-01-03T16:13:03,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-04,13.6,7.8,10,13.6,6.7,9.5,3.5,64.1,0.298,100,12.5,rain,0,0,54,14.4,191.3,1003.5,87.8,27,14.7,1.3,1,,2022-01-04T07:45:04,2022-01-04T16:14:07,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"11036099999,D0051,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-05,14,4,8,14,-1.4,5.5,2,65.9,0,0,0,,0,0,59.6,32.4,284.7,1003.5,89,33.8,12.2,0.9,1,,2022-01-05T07:44:53,2022-01-05T16:15:13,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-06,5.6,1.3,3.7,2.1,-2,-0.3,-3.2,60.6,0,0,0,,0,0,64.8,28.8,281.3,1015.7,51.2,30,46.7,3.9,3,,2022-01-06T07:44:38,2022-01-06T16:16:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-07,2.8,-1.7,0.4,1,-4.5,-2.2,-5.9,63.1,0,0,0,,0,0,,18,164.9,1022.1,2.5,36.5,60.4,5.1,3,,2022-01-07T07:44:21,2022-01-07T16:17:31,0.15,Clear,Clear conditions throughout the day.,clear-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-08,3.8,-1.7,0.5,0.2,-5.5,-2.1,-5.6,63.7,0,0,0,,0,0,50.4,18,201.7,1015.5,70.1,22.7,34.1,2.9,2,,2022-01-08T07:44:02,2022-01-08T16:18:43,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-09,1.8,-2.9,-0.1,1.8,-5.8,-1.4,-4.4,72.9,0,0,0,,0,0,,10.8,130.4,1006.1,82.2,15.4,23,2,1,,2022-01-09T07:43:39,2022-01-09T16:19:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11036099999,D4277,11034099999,11080099999,11035099999,11040099999,11037099999"
vienna,2022-01-10,4.1,1.3,3.2,2.6,-2.9,0.2,-0.8,75.1,0.001,100,4.17,"rain,snow",0,0.3,50.4,25.1,323.1,1016.5,71.9,14.9,14.5,1.2,1,10,2022-01-10T07:43:13,2022-01-10T16:21:12,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"11036099999,D4277,11034099999,11080099999,AU094,11035099999,11040099999,11037099999"
