name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
xining,2022-01-01,1.6,-16.8,-8,1.6,-24.5,-11.9,-18.5,48.8,0,0,0,,0,0,25.9,16.2,243,1032.8,7.1,12.4,153.6,13.3,6,,2022-01-01T08:25:19,2022-01-01T18:07:37,0.94,Clear,Clear conditions throughout the day.,clear-day,"52866099999,remote"
xining,2022-01-02,5.2,-16,-6.3,5.2,-24.4,-10.3,-18.6,41.7,0,0,0,,0,0,31,25.6,246.4,1025.4,0.1,15.4,150.5,13.1,6,,2022-01-02T08:25:28,2022-01-02T18:08:24,0.98,Clear,Clear conditions throughout the day.,clear-day,"52866099999,remote"
xining,2022-01-03,1.2,-10.4,-6.3,1.2,-12.6,-7.9,-16.8,44.6,0,0,0,,0,0,41,13.7,160.4,1026.3,46.5,14.4,106.3,9.3,4,,2022-01-03T08:25:36,2022-01-03T18:09:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"52866099999,remote"
xining,2022-01-04,5.1,-12.8,-5.6,5.1,-18.4,-8.3,-15.6,48.7,0,0,0,,0,0,41,20.5,262.5,1024,29.5,15.5,149,12.8,6,,2022-01-04T08:25:42,2022-01-04T18:10:02,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"52866099999,remote"
xining,2022-01-05,6.2,-13.9,-5.2,6.2,-20.9,-9.3,-16.7,43.8,0,0,0,,0,0,46.4,20.9,213,1021.8,39.7,15.5,150.9,13.1,6,,2022-01-05T08:25:45,2022-01-05T18:10:53,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"52866099999,remote"
xining,2022-01-06,6.1,-10.6,-3.7,4.6,-14.7,-5.8,-14.5,46.6,0,0,0,,0,0,46.4,14.4,266,1025,43,14.4,144.6,12.5,6,,2022-01-06T08:25:47,2022-01-06T18:11:45,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"52866099999,remote"
xining,2022-01-07,1.7,-9.3,-5,1.6,-9.3,-6.3,-12.1,59.9,0,0,0,,0,0,19.8,9.7,144.6,1027.2,62.3,9.6,61.7,5.4,3,,2022-01-07T08:25:47,2022-01-07T18:12:38,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"52866099999,remote"
xining,2022-01-08,6.2,-11.6,-4.4,6.2,-17.5,-8.1,-11.3,63.9,0,0,0,,0,0,37.1,21.2,246.1,1027.1,0.4,8.1,151.8,13.1,6,,2022-01-08T08:25:45,2022-01-08T18:13:33,0.18,Clear,Clear conditions throughout the day.,clear-day,"52866099999,remote"
xining,2022-01-09,3.7,-11.6,-4.8,0.3,-16.5,-8.2,-13.8,52.3,0,0,0,,0,0,67.3,29.2,222.2,1021.9,19.3,7,152.9,13.2,6,,2022-01-09T08:25:40,2022-01-09T18:14:28,0.21,Clear,Clear conditions throughout the day.,clear-day,"52866099999,remote"
xining,2022-01-10,0.2,-13.2,-7.5,0.2,-18,-9.5,-15.6,56.2,10,100,4.17,snow,0,0,67.3,16.6,352,1030.5,4.2,13.8,155.2,13.4,6,10,2022-01-10T08:25:34,2022-01-10T18:15:24,0.25,Snow,Clear conditions throughout the day with late afternoon snow.,rain,"52866099999,remote"
