name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Fuzhou, China",2022-01-01,16,10.7,12.9,16,10.7,12.9,6.3,64.7,0,0,0,,0,0,23,14.4,13.6,1027.3,76.4,10.4,167,14.4,6,,2022-01-01T06:50:09,2022-01-01T17:22:26,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-02,16,11,13.8,16,11,13.8,8.5,71.3,0,0,0,,0,0,22.3,28.8,31.5,1025.6,58.6,10.3,154.5,13.3,6,,2022-01-02T06:50:25,2022-01-02T17:23:06,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-03,19,10,13.3,19,10,13.3,5,58.6,0,0,0,,0,0,25.9,18,24.8,1024.2,5.9,10.6,173.1,14.9,7,,2022-01-03T06:50:40,2022-01-03T17:23:47,0,Clear,Clear conditions throughout the day.,clear-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-04,19.5,10.1,14.4,19.5,10.1,14.4,8.5,68.5,0,0,0,,0,0,25.9,25.2,14,1023.2,58.4,10.7,153.9,13.4,6,,2022-01-04T06:50:54,2022-01-04T17:24:28,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-05,16.6,13.6,14.9,16.6,13.6,14.9,13.3,90.5,7.798,100,12.5,rain,0,0,18,10.8,336.1,1019.3,77.9,6.1,124.4,10.7,5,,2022-01-05T06:51:06,2022-01-05T17:25:11,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-06,15,12.1,13.5,15,12.1,13.5,9.5,77.6,0,0,0,,0,0,43.2,36,35.7,1024.1,77.2,10.1,141.5,12.2,6,,2022-01-06T06:51:17,2022-01-06T17:25:54,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-07,15.6,11.2,12.9,15.6,11.2,12.9,7,67.5,0,0,0,,0,0,54.7,32.4,38.3,1026.2,71.5,13.3,118.8,10.3,5,,2022-01-07T06:51:26,2022-01-07T17:26:37,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-08,18.6,9.7,12.5,18.6,9,12.5,7.5,72.2,0,0,0,,0,0,23,28.8,26.4,1023.6,24.7,11,179.2,15.5,7,,2022-01-08T06:51:34,2022-01-08T17:27:21,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-09,14.6,10,12.1,14.6,10,12.1,8.2,77.4,0,0,0,,0,0,23,21.6,22.6,1020.8,81.6,9.3,139.2,12,5,,2022-01-09T06:51:41,2022-01-09T17:28:05,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-10,16,11,12.7,16,11,12.7,10,83.9,0.1,100,4.17,rain,0,0,17.3,21.6,27.2,1019.6,90.9,7.7,123.2,10.7,5,10,2022-01-10T06:51:46,2022-01-10T17:28:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-11,13.5,10.2,11.8,13.5,10.2,11.8,7.1,73.8,0,0,0,rain,0,0,31.7,28.8,47.6,1022.6,90.8,10.5,54,4.9,4,10,2022-01-11T06:51:49,2022-01-11T17:29:35,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"58944099999,ZSFZ,58847099999"
"Fuzhou, China",2022-01-12,13.1,8,10.1,13.1,5.6,9.3,3.1,62.1,0,0,0,,0,0,26.6,25.2,36.4,1024,63.4,6.5,167.6,14.8,5,10,2022-01-12T06:51:51,2022-01-12T17:30:21,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58944099999,ZSFZ,58847099999"
