name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Yanji, China",2022-01-01,-4.1,-22.6,-14,-4.1,-30.5,-17.8,-19.8,65.5,0,0,0,,0,0,60.1,16.2,254.7,1029,43,18.8,101.4,8.8,4,,2022-01-01T06:53:10,2022-01-01T15:57:56,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-02,-7.8,-16.3,-12.5,-15.7,-26.6,-21.1,-19.2,60.8,0.2,100,8.33,snow,0,0,55.4,31.3,278.2,1024.4,21.1,23.6,105.1,9.1,5,,2022-01-02T06:53:15,2022-01-02T15:58:49,0.98,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"54292099999,remote"
"Yanji, China",2022-01-03,-5.3,-15.1,-11.1,-7.3,-23.1,-17.6,-16.7,65.5,0,0,0,,0,0,47.9,25.9,284.9,1022.1,36.4,20,80.5,7,4,,2022-01-03T06:53:17,2022-01-03T15:59:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-04,-7.8,-19.6,-14.5,-15.7,-27.5,-22.5,-20.9,62.4,0,0,0,,0,0,50.8,28.4,291,1030,14.6,25.5,106.1,9.2,5,,2022-01-04T06:53:16,2022-01-04T16:00:39,0.05,Clear,Clear conditions throughout the day.,clear-day,"54292099999,remote"
"Yanji, China",2022-01-05,-5.9,-21.2,-15.1,-8.9,-27.6,-18.1,-21.1,64.8,0,0,0,,0,0,43.2,9.4,283.1,1032.2,4.9,17.5,108,9.4,5,,2022-01-05T06:53:14,2022-01-05T16:01:37,0.08,Clear,Clear conditions throughout the day.,clear-day,"54292099999,remote"
"Yanji, China",2022-01-06,-6.6,-19.4,-13.8,-12.6,-23.9,-19.9,-18,73.7,0,0,0,,0,0,50,27.4,294.5,1031.5,36.6,14.8,74.6,6.4,3,,2022-01-06T06:53:08,2022-01-06T16:02:36,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-07,-3.3,-18.2,-11.8,-3.8,-25,-16.1,-16.9,69.9,0,0,0,,0,0,36.7,12.2,258.6,1029.2,0,16.5,105.6,9.2,5,,2022-01-07T06:53:01,2022-01-07T16:03:37,0.14,Clear,Clear conditions throughout the day.,clear-day,"54292099999,remote"
"Yanji, China",2022-01-08,-0.9,-16.9,-8.7,-6.7,-19.6,-13.4,-12,78.1,0,0,0,,0,0,40.3,23,282.5,1021.1,48.6,6,82.8,7.3,4,,2022-01-08T06:52:51,2022-01-08T16:04:39,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-09,-4.9,-17.3,-11.4,-9,-23.7,-16.1,-17.2,65.6,0,0,0,,0,0,42.8,15.8,294.9,1026.2,20.9,8.1,107,9.2,5,,2022-01-09T06:52:38,2022-01-09T16:05:42,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-10,-6.1,-18.5,-11.6,-6.1,-22.1,-14.3,-14.6,80,0.2,100,4.17,snow,0.1,3.4,39.2,18.4,288,1023,67.9,7.3,51.9,4.5,2,10,2022-01-10T06:52:23,2022-01-10T16:06:47,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"54292099999,remote"
"Yanji, China",2022-01-11,-12.5,-19,-16.2,-19.5,-30.1,-26.1,-22.7,57.8,0.6,100,4.17,snow,0,7.9,63.4,34.2,288.7,1021.5,35.7,20.2,85.1,7.6,3,10,2022-01-11T06:52:06,2022-01-11T16:07:54,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"54292099999,remote"
"Yanji, China",2022-01-12,-11.9,-19,-15.9,-20.5,-29.7,-24.3,-22.9,55.4,0,0,0,,0,7.3,63.4,26.6,287.1,1021.7,31.3,23,99.2,8.8,4,10,2022-01-12T06:51:46,2022-01-12T16:09:01,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-13,-10.9,-17.5,-15.1,-21.1,-28.4,-24.3,-21.7,57.8,0,0,0,,0,6.9,68.4,32.8,290,1019,22.3,22.4,94.9,8.4,4,10,2022-01-13T06:51:24,2022-01-13T16:10:10,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"54292099999,remote"
"Yanji, China",2022-01-14,-6.6,-19.1,-14.3,-11.6,-27.9,-19.5,-21.6,56.1,0,0,0,,0,6.7,60.1,24.5,290.2,1024.7,2.6,22.8,104.7,9.4,4,10,2022-01-14T06:51:00,2022-01-14T16:11:19,0.37,Clear,Clear conditions throughout the day.,clear-day,"54292099999,remote"
"Yanji, China",2022-01-15,-6.4,-18.5,-12.6,-6.4,-18.5,-13.2,-16.6,73.2,0.1,100,4.17,snow,0.2,6.8,36.4,12.6,265.4,1021.3,92.6,17.6,71.9,6.5,3,10,2022-01-15T06:50:33,2022-01-15T16:12:30,0.41,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"54292099999,remote"
