name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
yinchuan,2022-01-01,-0.6,-17.2,-10,-3.6,-26.3,-16,-18.1,55.9,0,0,0,,,,,23.4,245.8,,0,,160.1,13.9,6,,2022-01-01T08:17:18,2022-01-01T18:04:25,0.94,Clear,Clear conditions throughout the day.,clear-day,remote
yinchuan,2022-01-02,1.8,-14.5,-7.3,-3.6,-25.1,-13.6,-16.6,50.5,0,0,0,,,,,30.6,254,,2.6,,157.8,13.6,6,,2022-01-02T08:17:28,2022-01-02T18:05:11,0.98,Clear,Clear conditions throughout the day.,clear-day,remote
yinchuan,2022-01-03,1.4,-14,-7.5,0.2,-20.4,-11.1,-13.3,66.2,0,0,0,,,,,18.4,300.9,,46.2,,126.2,10.9,6,,2022-01-03T08:17:36,2022-01-03T18:05:59,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-04,1.3,-13.2,-7.1,-3.7,-19,-11.2,-12.6,68.7,0,0,0,,,,,20.5,273.7,,49,,143.4,12.4,6,,2022-01-04T08:17:43,2022-01-04T18:06:48,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-05,3.7,-14.9,-7.5,0,-23.5,-13,-15.2,57.5,0,0,0,,,,,26.3,261,,24.5,,158.5,13.7,6,,2022-01-05T08:17:47,2022-01-05T18:07:38,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-06,3.9,-10.6,-4.9,0.8,-15.8,-7.5,-11.3,63.8,0,0,0,,,,,14.4,268.3,,40.1,,152.6,13.3,6,,2022-01-06T08:17:50,2022-01-06T18:08:29,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
yinchuan,2022-01-07,-0.8,-9.3,-5.7,-4.5,-13.3,-9.2,-9.3,76.7,0,0,0,,,,,12.2,144,,59.1,,81.6,7.1,4,,2022-01-07T08:17:51,2022-01-07T18:09:22,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-08,2.1,-12.5,-6.3,-2.7,-18.9,-10.6,-10.8,72.8,0,0,0,,,,,20.2,293.2,,5,,157.7,13.7,6,,2022-01-08T08:17:49,2022-01-08T18:10:15,0.18,Clear,Clear conditions throughout the day.,clear-day,remote
yinchuan,2022-01-09,4.7,-14.2,-7,1.1,-22,-12.3,-13.4,65.9,0,0,0,,,,,25.2,277.9,,21.9,,161.3,14,6,,2022-01-09T08:17:46,2022-01-09T18:11:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-10,-2.8,-14,-8.3,-3.1,-15,-10.4,-13.2,72,0,0,0,,0,0,2.9,16.6,6.9,1027.5,7.5,24.1,160.5,14,6,10,2022-01-10T08:17:41,2022-01-10T18:12:04,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
yinchuan,2022-01-11,0.9,-6,-3.2,-1,-7.7,-4.5,-12.1,51,0,0,0,,0,0,11.2,10.4,358,1022.8,3.4,24.1,129.1,11.3,6,10,2022-01-11T08:17:34,2022-01-11T18:13:00,0.28,Clear,Clear conditions throughout the day.,clear-day,remote
yinchuan,2022-01-12,-2.4,-6.3,-4.5,-2.4,-8.5,-5.3,-15.6,41.8,0,0,0,,0,0,10.4,8.3,5.6,1029.9,74.3,24.1,102.5,9,4,10,2022-01-12T08:17:25,2022-01-12T18:13:56,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-13,-0.6,-7.1,-4.2,-0.6,-7.1,-4.3,-15.8,40.5,0,0,0,,0,0,6.1,6.5,12.5,1022.1,73.2,24.1,99.9,8.6,4,10,2022-01-13T08:17:14,2022-01-13T18:14:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
yinchuan,2022-01-14,-0.1,-6.6,-3.4,-0.1,-8.7,-4.4,-16.2,37,0,0,0,,0,0,7.2,6.8,2.7,1019.9,38.3,24.1,128.2,11.2,6,10,2022-01-14T08:17:01,2022-01-14T18:15:52,0.37,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
